scenario,features_used,sensitive_mode,sex_map,accuracy,precision_good,recall_good,f1_good,support_good,precision_bad,recall_bad,f1_bad,support_bad,cm_counts_png,cm_norm_png,predictions_csv
all_features,"Age, Sex, Job, Housing, Saving accounts, Checking account, Credit amount, Duration, Purpose",data_driven,"{'male': -1, 'female': 1}",0.6383928571428571,0.6015625,0.719626168224299,0.6553191489361702,107,0.6875,0.5641025641025641,0.6197183098591549,117,artifacts\cm_counts_all_features.png,artifacts\cm_norm_all_features.png,artifacts\predictions_all_features.csv
personal,"Age, Sex, Job, Housing",data_driven,"{'male': -1, 'female': 1}",0.5223214285714286,0.5,0.9719626168224299,0.6603174603174603,107,0.8125,0.1111111111111111,0.19548872180451127,117,artifacts\cm_counts_personal.png,artifacts\cm_norm_personal.png,artifacts\predictions_personal.csv
financial,"Saving accounts, Checking account, Credit amount, Duration, Purpose",ignore,"{'male': 0, 'female': 0}",0.6071428571428571,0.584070796460177,0.616822429906542,0.6,107,0.6306306306306306,0.5982905982905983,0.6140350877192983,117,artifacts\cm_counts_financial.png,artifacts\cm_norm_financial.png,artifacts\predictions_financial.csv
